Unnamed: 0,fluor,symmetry,platform,shape,color,clarity,cut,polish,id,date,price,carat,price_per_carat,z,x,depth_perc,y,inflation,price_per_carat_adjusted
137874,NONE,EX,jamesallen,RD,J,SI1,EX,EX,13897961,202205,10210.0,1.74,5867.82,7.59,7.64,62.0,4.7367997,0.9750933469382987,5721.672243031488
70793,NONE,VG,jamesallen,PR,I,VVS2,VG,EX,12687257,202206,12700.0,1.83,6939.89,6.64,6.44,75.7,4.87508,0.9949482320722712,6904.831286276035
17146,NONE,G,jamesallen,PR,G,SI1,VG,G,6489774,202206,4830.0,1.1,4390.91,5.81,5.66,71.9,4.06954,1.1070043838742274,4860.756619197184
360364,NONE,EX,jamesallen,RD,I,IF,EX,EX,14911278,202207,21000.0,1.93,10880.83,7.79,7.85,63.5,4.9847503,1.0,10880.83
406665,NONE,EX,jamesallen,RD,H,SI2,VG,VG,15104927,202206,21940.0,2.44,8991.8,8.57,8.61,61.3,5.27793,0.7659656531970267,6887.409960417024
99175,NONE,G,jamesallen,RD,I,I1,VG,G,13356491,202207,13740.0,2.15,6390.7,8.05,8.21,64.1,5.26261,1.0,6390.7
446567,NONE,EX,jamesallen,RD,F,VVS2,EX,EX,15351471,202207,64710.0,2.52,25678.57,8.84,8.87,60.1,5.3308697,1.0,25678.57
173978,FNT,EX,jamesallen,RD,G,I1,EX,EX,14149178,202205,16150.0,2.03,7955.67,8.1,8.14,62.0,5.0468,1.7079736841774482,13588.074999999999
432211,FNT,EX,jamesallen,CUSH,H,VS2,VG,EX,15250983,202207,13760.0,1.82,7560.44,7.19,6.51,68.0,4.4268003,1.0,7560.44
9908,NONE,EX,jamesallen,RD,K,SI1,EX,EX,4461689,202207,278020.0,10.12,27472.33,13.94,13.95,61.2,8.5374,1.0,27472.33
362471,MED,G,jamesallen,RD,I,VVS2,G,VG,14921725,202207,14750.0,1.7,8676.47,7.55,7.62,61.2,4.6634398,1.0,8676.47
6408,FNT,G,jamesallen,PR,I,VS2,VG,VG,2046082,202207,4580.0,1.14,4017.54,6.06,5.53,74.4,4.1143203,1.0,4017.54
414410,NONE,EX,jamesallen,RD,E,VS1,EX,EX,15134117,202206,262190.0,5.03,52125.25,10.8,10.88,62.8,6.8326397,0.950154447424525,49527.03811061523
416619,NONE,EX,jamesallen,RD,D,I1,EX,EX,15149858,202206,21570.0,2.05,10521.95,8.06,8.12,62.7,5.09124,1.4270479649437753,15015.327334740157
314086,MED,G,jamesallen,RD,J,SI1,VG,VG,14744608,202205,11550.0,1.79,6452.51,7.76,7.8,61.0,4.7580004,0.837812106311323,5405.990994094875
100624,NONE,VG,jamesallen,PR,F,I1,EX,EX,13381259,202206,6780.0,1.76,3852.27,6.62,6.52,73.8,4.8117604,0.8874047568418898,3418.5227226393067
403825,NONE,VG,jamesallen,RD,G,SI2,VG,EX,15098910,202207,4230.0,0.95,4452.63,6.06,6.16,64.9,3.99784,1.0,4452.63
401792,NONE,EX,jamesallen,RD,G,VS2,EX,EX,15092266,202207,14920.0,1.43,10433.57,7.15,7.19,62.3,4.47937,1.0,10433.57
141262,NONE,EX,jamesallen,RD,J,VS1,EX,EX,13932217,202206,31420.0,2.66,11812.03,8.8,8.83,62.5,5.51875,1.0434468513117086,12325.225511099441
393441,NONE,EX,jamesallen,RD,L,VVS2,EX,EX,15057220,202206,45600.0,4.02,11343.28,10.13,10.18,62.1,6.3217797,1.5065842213774734,17089.606666666667
402164,FNT,EX,jamesallen,RD,J,SI2,EX,EX,15093368,202207,15830.0,2.23,7098.65,8.23,8.29,62.7,5.19783,1.0,7098.65
305668,STG,EX,jamesallen,RD,L,VVS1,EX,EX,14714917,202205,27440.0,3.0,9146.67,9.18,9.25,62.0,5.735,0.9311979113710236,8517.36
19132,FNT,EX,jamesallen,RD,K,SI1,VG,VG,7126884,202207,13870.0,2.06,6733.01,8.0,8.07,62.6,5.05182,1.0,6733.01
38377,NONE,EX,jamesallen,RD,G,SI1,EX,EX,10853983,202206,89950.0,4.15,21674.7,10.17,10.2,62.9,6.4158,0.8310117325729999,18011.93
34588,NONE,G,jamesallen,RD,J,SI1,G,VG,10341088,202206,75390.0,5.01,15047.9,10.84,10.98,62.1,6.8185797,0.9026347722683717,13582.757789617232
126115,MED,EX,jamesallen,CUSH,K,VS1,VG,EX,13751590,202205,68720.0,6.01,11434.28,11.01,9.81,70.0,6.867,1.0,11434.28
433729,NONE,EX,jamesallen,RD,H,VVS1,EX,EX,15263556,202207,35480.0,2.06,17223.3,8.11,8.18,61.6,5.03888,1.0,17223.3
335336,FNT,VG,jamesallen,PR,J,VVS1,G,EX,14817634,202206,4370.0,1.21,3611.57,5.76,5.48,77.2,4.23056,1.2023016413050929,4342.196538688235
251022,FNT,EX,jamesallen,RD,E,SI1,EX,EX,14495674,202206,11520.0,1.37,8408.76,7.07,7.08,62.2,4.40376,1.1956991695137806,10054.347348640698
81038,FNT,EX,jamesallen,RD,D,I1,EX,VG,12990179,202205,2440.0,0.82,2975.61,6.02,6.06,61.0,3.6966,1.8768561938467416,5584.7920589723035
377373,NONE,EX,jamesallen,CUSH,G,VVS2,EX,EX,14984594,202207,84000.0,4.02,20895.52,9.09,8.59,68.7,5.90133,1.0,20895.52
374629,STG,VG,jamesallen,CUSH,F,VS2,G,EX,14972300,202206,5390.0,1.23,4382.11,6.21,5.89,67.8,3.9934201,1.1938317737768032,5231.5021541850665
347998,NONE,EX,jamesallen,CUSH,I,VVS1,EX,EX,14863098,202207,11610.0,1.72,6750.0,6.82,6.44,70.4,4.53376,1.0,6750.0
131893,MED,EX,jamesallen,CUSH,F,VVS2,VG,EX,13831796,202205,26470.0,2.5,10588.0,8.05,7.48,68.0,5.0864,0.7505274675997876,7946.584826946551
203033,STG,VG,jamesallen,RD,G,VVS2,EX,EX,14291548,202205,66710.0,3.42,19505.85,9.52,9.6,63.0,6.0480003,0.9954671148512998,19417.432222222225
239730,FNT,EX,jamesallen,RD,F,SI2,EX,EX,14453457,202207,55630.0,3.31,16806.65,9.54,9.58,62.0,5.9396,1.0,16806.65
97884,MED,EX,jamesallen,RD,D,VVS2,EX,EX,13328131,202207,37880.0,2.14,17700.93,8.16,8.22,62.6,5.14572,1.0,17700.93
144408,NONE,EX,jamesallen,RD,H,I1,EX,VG,13954630,202206,5820.0,1.3,4476.92,6.96,7.0,61.7,4.319,1.0582206320356993,4737.569111973263
295502,NONE,EX,jamesallen,CUSH,H,VVS2,G,EX,14682212,202205,7280.0,1.3,5600.0,6.24,6.02,69.0,4.1538,1.0154881595383147,5686.733693414562
346765,FNT,EX,jamesallen,RD,K,IF,EX,EX,14858668,202206,13790.0,1.77,7790.96,7.71,7.75,61.5,4.76625,1.1318965159911751,8818.560480226606
34510,MED,G,jamesallen,RD,D,VS2,G,G,10340561,202206,5820.0,0.95,6126.32,6.31,6.46,60.2,3.88892,0.9877203479921332,6051.090922311165
197150,NONE,EX,jamesallen,RD,F,IF,EX,EX,14265425,202205,63310.0,2.25,28137.78,8.41,8.45,61.0,5.1545,0.986135431863674,27747.66183198505
416029,NONE,EX,jamesallen,RD,F,SI1,EX,EX,15146545,202207,75230.0,3.53,21311.61,9.63,9.69,62.6,6.0659394,1.0,21311.61
226233,NONE,EX,jamesallen,RD,G,SI1,EX,EX,14398467,202205,86070.0,4.02,21410.45,10.11,10.16,62.0,6.2992,0.9982176050382209,21372.288121790578
244389,NONE,EX,jamesallen,RD,K,SI1,EX,EX,14473276,202205,20010.0,2.61,7666.67,8.71,8.77,62.0,5.4374003,1.120835193673988,8593.073554284554
361010,FNT,EX,jamesallen,RD,H,SI2,EX,EX,14914418,202207,21510.0,2.13,10098.59,8.28,8.33,60.7,5.05631,1.0,10098.59
29293,MED,EX,jamesallen,RD,D,I1,VG,EX,9191719,202205,4170.0,1.02,4088.24,6.36,6.37,63.0,4.0131,1.5832125433459894,6472.5528482088075
53895,MED,G,jamesallen,CUSH,D,VS2,G,VG,12036059,202205,47020.0,3.74,12572.19,9.39,8.69,69.0,5.9961,1.0,12572.19
264888,NONE,EX,jamesallen,RD,F,VVS2,EX,EX,14565876,202205,286730.0,5.28,54304.92,11.12,11.19,62.0,6.9377995,0.8031329389675926,43614.07
443263,NONE,EX,jamesallen,RD,D,FL,EX,EX,15331146,202207,25660.0,1.32,19439.39,6.96,7.0,62.5,4.375,1.0,19439.39
161560,MED,EX,jamesallen,RD,J,I1,EX,EX,14079742,202207,1890.0,0.81,2333.33,5.92,5.97,62.6,3.7372198,1.0,2333.33
138387,NONE,EX,jamesallen,RD,J,VS1,EX,EX,13906142,202205,21840.0,2.26,9663.72,8.36,8.41,61.0,5.1301003,0.9768516133991995,9440.020473438111
312584,FNT,VG,jamesallen,CUSH,D,VS1,G,EX,14740711,202205,10700.0,1.52,7039.47,6.16,6.12,74.0,4.5288,1.0974121631315994,7725.2
138019,FNT,EX,jamesallen,RD,F,SI1,EX,EX,13899496,202205,54710.0,3.16,17313.29,9.42,9.46,60.0,5.6759996,1.1937555925720689,20667.836763322077
394405,FNT,EX,jamesallen,RD,I,SI1,EX,EX,15061722,202206,41180.0,3.06,13457.52,9.18,9.24,62.8,5.8027196,0.9639589115749718,12972.496331698416
161061,STG,EX,jamesallen,RD,M,VS2,EX,EX,14077823,202206,8310.0,1.84,4516.3,7.95,7.98,59.8,4.77204,1.0451864962070987,4720.37577282012
307845,FNT,VG,jamesallen,CUSH,D,VS2,VG,EX,14724607,202205,2420.0,0.83,2915.66,5.44,5.05,68.0,3.4340003,0.8328827865874554,2428.40302554158
377358,NONE,VG,jamesallen,CUSH,F,SI2,EX,EX,14984579,202206,12720.0,1.85,6875.68,6.88,6.75,68.4,4.617,0.8874047568418898,6101.5111385226455
367,NONE,EX,jamesallen,RD,G,VS1,EX,EX,28700,202205,77740.0,3.11,24996.78,9.33,9.29,62.0,5.7598,0.7307372397792555,18266.078020569297
453508,NONE,EX,jamesallen,RD,H,I1,EX,EX,15410237,202207,23080.0,2.33,9905.58,8.4,8.44,62.7,5.2918797,1.0,9905.58
441783,NONE,VG,jamesallen,RD,D,SI2,G,VG,15320476,202207,4140.0,0.95,4357.89,6.24,6.3,61.9,3.8997004,1.0,4357.89
339637,NONE,VG,jamesallen,CUSH,I,VS1,VG,EX,14837350,202206,49400.0,3.51,14074.07,9.31,8.36,67.7,5.6597195,0.8044964253403314,11322.539004989598
140774,NONE,EX,jamesallen,RD,J,VVS2,EX,EX,13927983,202206,116080.0,5.62,20654.8,11.38,11.39,61.3,6.9820704,0.7690653692111767,15884.891387983012
369698,MED,EX,jamesallen,RD,E,VS1,EX,EX,14953384,202207,40470.0,2.39,16933.05,8.5,8.56,62.1,5.3157597,1.0,16933.05
385236,NONE,EX,jamesallen,RD,F,I1,EX,EX,15029336,202206,13920.0,2.08,6692.31,8.1,8.13,63.0,5.1219,1.0125972828139325,6776.614921748509
41893,NONE,EX,jamesallen,CUSH,E,VVS2,VG,EX,11246073,202205,3110.0,0.86,3616.28,5.65,5.12,68.0,3.4816,0.8688166735107329,3141.8843600833934
451401,FNT,EX,jamesallen,RD,M,SI2,EX,EX,15387392,202207,9950.0,2.2,4522.73,8.18,8.24,63.0,5.1912,1.0,4522.73
229292,NONE,VG,jamesallen,PR,I,VS2,EX,EX,14410073,202206,3200.0,0.97,3298.97,5.59,5.49,69.7,3.8265295,1.3440173088741978,4433.872781456712
179429,NONE,EX,jamesallen,RD,E,VS1,EX,EX,14178155,202205,47180.0,2.32,20336.21,8.4,8.46,62.0,5.2452,1.473305744842934,29961.455021332324
